序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3194,300614,百川畅银,13.48,0.9,0.12,37198.0,50139202.0,3.97,13.71,13.18,13.19,13.36,0.7,2.32,-21.25,2.04,2162740353.0,2162740353.0,0.07,-0.07,10.49,6.31
3195,920086,科马材料,31.9,0.89,0.28,19889.0,63779459.27,6.33,33.0,31.0,31.1,31.62,0.49,7.44,29.24,3.08,2669392000.0,853149550.0,0.09,0.0,173.58,173.58
3196,301079,邵阳液压,36.21,0.89,0.32,33950.0,122024812.06,3.82,36.39,35.02,35.02,35.89,0.64,4.88,1201.18,8.34,3944436193.0,2517507456.0,-0.03,0.14,27.72,14.55
3197,000889,中嘉博创,3.41,0.89,0.03,581305.0,198150740.15,7.99,3.53,3.26,3.27,3.38,1.76,6.68,-81.62,44.98,3192752706.0,2966187395.0,0.29,0.59,-3.4,-5.28
3198,603393,新天然气,39.59,0.89,0.35,164416.0,648269691.0,4.41,40.15,38.42,38.56,39.24,0.81,3.88,20.8,1.83,16783045336.0,16755332494.0,-0.03,0.1,48.28,48.89
3199,601369,陕鼓动力,10.17,0.89,0.09,81954.0,82825929.0,2.88,10.2,9.91,9.96,10.08,0.57,0.48,21.29,2.0,17527735584.0,17352168840.0,0.0,0.1,1.4,1.6
3200,000417,合百集团,6.81,0.89,0.06,71426.0,48464444.0,2.37,6.82,6.66,6.67,6.75,0.39,0.92,23.13,1.13,5311011402.0,5305176941.0,0.15,0.0,-19.79,-15.93
3201,000409,云鼎科技,10.2,0.89,0.09,43596.0,44343795.38,2.87,10.24,9.95,10.0,10.11,0.49,0.74,102.33,4.4,6913055151.0,6022938167.0,0.0,-0.1,-7.02,-8.44
3202,601003,柳钢股份,4.55,0.89,0.04,132164.0,59853521.0,3.1,4.56,4.42,4.45,4.51,0.65,0.52,13.63,1.29,11985709058.0,11660709060.0,-0.22,0.0,-8.63,-9.54
3203,300719,安达维尔,15.89,0.89,0.14,42495.0,67245806.0,3.62,15.99,15.42,15.5,15.75,0.55,2.37,5342.53,3.89,4039669414.0,2854163897.0,-0.06,-0.13,-4.85,-12.26
3204,920124,南特科技,15.8,0.89,0.14,5867.0,9231141.58,2.81,15.9,15.46,15.5,15.66,0.35,0.77,23.09,2.22,2349986377.0,1209196262.0,0.0,-0.19,-15.46,-13.23
3205,600569,安阳钢铁,2.27,0.89,0.02,361093.0,81305302.0,3.11,2.27,2.2,2.22,2.25,0.51,1.26,83.83,2.39,6520396546.0,6520396546.0,0.0,0.0,0.0,0.89
3206,300264,佳创视讯,10.19,0.89,0.09,166313.0,170532281.19,5.35,10.45,9.91,9.93,10.1,0.57,4.49,-185.86,451.2,4390438108.0,3774671031.0,0.1,0.3,55.1,51.86
3207,000839,国安股份,3.41,0.89,0.03,863352.0,293129737.0,5.33,3.47,3.29,3.31,3.38,0.58,2.2,1187.06,8.72,13366607860.0,13366607860.0,0.0,-0.29,30.65,29.17
3208,688039,当虹科技,42.03,0.89,0.37,12998.0,54316961.0,3.29,42.22,40.85,40.85,41.66,0.62,1.18,-52.43,4.36,4648577851.0,4648577851.0,0.0,0.0,-0.36,-6.08
3209,000029,深深房Ａ,19.21,0.89,0.17,25978.0,49612602.28,3.05,19.3,18.72,19.02,19.04,0.44,0.29,194.43,5.38,19433988600.0,17128788600.0,0.26,0.42,-17.55,-12.76
